Crossover,Conventional,Strassen,Dimension
10,16.8517,31.8895,300
13,16.934,30.9778,300
16,16.5057,34.5303,300
19,16.8343,15.3462,300
22,16.1032,14.77,300
25,16.6807,14.8005,300
28,16.6917,15.1485,300
31,16.6867,15.47,300
34,16.7385,15.524,300
37,16.7263,15.5225,300
40,16.8568,13.3287,300
43,16.6973,13.313,300
46,16.6702,13.1015,300
49,15.9452,12.5255,300
52,15.9503,12.4573,300
10,83.4357,150.772,500
13,81.509,149.66,500
16,84.6555,78.5378,500
19,82.5965,75.5572,500
22,81.2302,74.7493,500
25,84.362,78.7537,500
28,82.4975,76.46,500
31,82.3618,76.132,500
34,82.368,69.5195,500
37,81.5675,68.9243,500
40,80.926,69.4,500
43,81.705,70.5542,500
46,80.9965,69.988,500
49,81.612,69.9882,500
52,83.4682,69.0565,500
10,279.323,914.605,700
13,279.385,239.982,700
16,278.009,238.808,700
19,275.258,241.188,700
22,276.305,158.915,700
25,281.377,163.151,700
28,277.608,161.641,700
31,278.089,160.123,700
34,279.567,159.496,700
37,278.5,161.689,700
40,279.412,162.082,700
43,280.514,158.658,700
46,277.942,150.542,700
49,279.022,151.379,700
52,272.954,152.07,700
