Crossover,Conventional,Strassen,Dimension
10,17.3453,32.4312,301
13,16.6627,31.535,301
16,16.5188,30.6163,301
19,16.5377,16.127,301
22,16.1242,15.5265,301
25,16.743,15.8358,301
28,16.89,16.186,301
31,16.5738,16.2828,301
34,16.4582,16.2048,301
37,16.5665,16.148,301
40,16.5748,14.0367,301
43,16.541,14.0497,301
46,16.1818,13.5348,301
49,16.2215,13.512,301
52,16.1932,13.4605,301
10,81.8127,152.238,501
13,82.4505,152.082,501
16,84.535,79.1905,501
19,83.531,78.6465,501
22,84.014,78.6068,501
25,83.3233,79.1352,501
28,82.782,79.1298,501
31,83.9343,78.4025,501
34,83.711,70.3492,501
37,80.9005,71.2475,501
40,82.2728,70.9068,501
43,83.1095,71.4163,501
46,83.954,70.7897,501
49,83.167,71.6525,501
52,82.7463,71.3893,501
10,277.083,910.811,701
13,276.842,241.546,701
16,279.057,241.914,701
19,280.752,239.852,701
22,276.161,160.921,701
25,279.931,163.008,701
28,275.774,162.81,701
31,275.708,159.107,701
34,280.795,161.629,701
37,275.593,161.557,701
40,286.032,161.427,701
43,279.088,162.761,701
46,279.062,154.529,701
49,279.219,151.594,701
52,294.627,163.338,701
